RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Abbreviation	Definition	Editors Note	Citation
owl:Class	subclass	ADO:00010	ADO:00157	http://vivoweb.org/ontology/degree/academicDegree134	Master of Science in Engineering				MSE	Master of Science in Engineering		
owl:Class	subclass	ADO:00010	ADO:00158		Master of Science in Information Studies				MSIS	Master of Science in Information Studies		
owl:Class	subclass	ADO:00010	ADO:00159		Master of Science in Nursing				MSN	Master of Science in Nursing		
owl:Class	subclass	ADO:00010	ADO:00160	http://vivoweb.org/ontology/degree/academicDegree114	Master of Science in Public Health				MSPH	Master of Science in Public Health		
owl:Class	subclass	ADO:00009	ADO:00161	http://vivoweb.org/ontology/degree/academicDegree92	Master of Social Work				MSW	Master of Social Work		
owl:Class	subclass	ADO:00010	ADO:00162		Master of Specialized Veterinary Medicine				MSpVM	Master of Specialized Veterinary Medicine		
owl:Class	subclass	ADO:00010	ADO:00163		Master of Statistics				MStat	Master of Statistics		
owl:Class	subclass	ADO:00009	ADO:00164		Master of Studies in International Human Rights Law				MStIHRL	Master of Studies in International Human Rights Law		
owl:Class	subclass	ADO:00010	ADO:00165		Master of Technology				MTech	Master of Technology		
owl:Class	subclass	ADO:00009	ADO:00166		Master of Theological Studies				MTS	Master of Theological Studies		
owl:Class	subclass	ADO:00009	ADO:00167	http://vivoweb.org/ontology/degree/academicDegree93	Master of Theology				MTh	Master of Theology		
owl:Class	subclass	ADO:00010	ADO:00168		Master of Urban Planning				MUP	Master of Urban Planning		
owl:Class	subclass	ADO:00010	ADO:00169	http://vivoweb.org/ontology/degree/academicDegree129	Master of Veterinary Science				MVSc	Master of Veterinary Science		
owl:Class	subclass	ADO:00010	ADO:00170		Medical Masters in Family Medicine				MPrax	Medical Masters in Family Medicine		
owl:Class	subclass	ADO:00007	ADO:00171	http://vivoweb.org/ontology/degree/academicDegree94	Nuclear Engineer				NucE	Nuclear Engineer		
owl:Class	subclass	ADO:00010	ADO:00172		Pediatric Nurse Practioner				PNP	Pediatric Nurse Practioner		
owl:Class	subclass	ADO:00010	ADO:00115		Habilitation		Habilitation ˆ diriger des recherches		HDR	Habilitation ˆ diriger des recherches	Needs a new parent	
